season,date,home_team,away_team,home_score,away_score,result_code,source,odds_home_pinnacle,odds_draw_pinnacle,odds_away_pinnacle,odds_home_max,odds_draw_max,odds_away_max,odds_home_avg,odds_draw_avg,odds_away_avg,imp_home_pinnacle,imp_draw_pinnacle,imp_away_pinnacle,overround_pinnacle,imp_home_max,imp_draw_max,imp_away_max,overround_max,imp_home_avg,imp_draw_avg,imp_away_avg,overround_avg
2012/2013,2012-07-29,Pumas UNAM,Queretaro,3,0,1,football-data,1.61,3.97,6.77,1.66,3.97,6.77,1.57,3.69,5.6,0.6211180124223602,0.2518891687657431,0.14771048744460857,0.02071766863271174,0.6024096385542169,0.2518891687657431,0.14771048744460857,0.002009294764568459,0.6369426751592356,0.2710027100271003,0.17857142857142858,0.08651681375776454
2012/2013,2012-07-29,Tigres UANL,Atlante,2,1,1,football-data,1.47,4.46,8.44,1.47,4.8,8.5,1.43,4.04,7.19,0.6802721088435374,0.2242152466367713,0.11848341232227488,0.02297076780258367,0.6802721088435374,0.20833333333333334,0.11764705882352941,0.006252501000400201,0.6993006993006994,0.24752475247524752,0.13908205841446453,0.08590751019041143
2012/2013,2012-08-04,Cruz Azul,Guadalajara,0,0,0,football-data,2.04,3.53,3.98,2.04,3.53,4.04,1.98,3.27,3.59,0.49019607843137253,0.28328611898017,0.25125628140703515,0.024738478818577603,0.49019607843137253,0.28328611898017,0.24752475247524752,0.021006949886789972,0.5050505050505051,0.3058103975535168,0.2785515320334262,0.08941243463744808
2012/2013,2012-08-04,Morelia,Atl. San Luis,3,3,0,football-data,1.79,3.65,5.32,1.79,3.91,5.89,1.67,3.54,4.86,0.5586592178770949,0.273972602739726,0.18796992481203006,0.02060174542885096,0.5586592178770949,0.2557544757033248,0.16977928692699493,-0.015807019492585228,0.5988023952095809,0.2824858757062147,0.20576131687242796,0.08704958778822358
2012/2013,2012-08-04,Queretaro,Pachuca,0,1,-1,football-data,3.58,3.53,2.16,3.58,3.53,2.29,3.15,3.26,2.17,0.27932960893854747,0.28328611898017,0.4629629629629629,0.02557869088168019,0.27932960893854747,0.28328611898017,0.4366812227074236,-0.0007030493738590105,0.31746031746031744,0.3067484662576687,0.4608294930875576,0.08503827680554377
2012/2013,2012-08-04,Santos Laguna,Puebla,2,2,0,football-data,1.41,5.01,8.6,1.5,5.01,8.6,1.44,4.15,6.64,0.7092198581560284,0.1996007984031936,0.11627906976744186,0.025099726326663907,0.6666666666666666,0.1996007984031936,0.11627906976744186,-0.017453465162697857,0.6944444444444444,0.24096385542168672,0.15060240963855423,0.08601070950468537
2012/2013,2012-08-04,Tijuana,Pumas UNAM,1,0,1,football-data,2.69,3.17,2.96,2.75,3.25,3.12,2.55,3.05,2.72,0.3717472118959108,0.31545741324921134,0.33783783783783783,0.02504246298295998,0.36363636363636365,0.3076923076923077,0.3205128205128205,-0.00815850815850816,0.3921568627450981,0.3278688524590164,0.3676470588235294,0.08767277402764395
2012/2013,2012-08-05,Atlas,Tigres UANL,0,0,0,football-data,3.12,3.24,2.52,3.25,3.24,2.52,2.9,3.13,2.37,0.3205128205128205,0.30864197530864196,0.3968253968253968,0.025980192646859246,0.3076923076923077,0.30864197530864196,0.3968253968253968,0.013159679826346471,0.3448275862068966,0.3194888178913738,0.42194092827004215,0.08625733236831246
2012/2013,2012-08-05,Monterrey,Chiapas,2,1,1,football-data,1.54,4.24,7.01,1.6,4.24,7.01,1.53,3.88,5.82,0.6493506493506493,0.23584905660377356,0.14265335235378032,0.027853058308203282,0.625,0.23584905660377356,0.14265335235378032,0.0035024089575539374,0.6535947712418301,0.2577319587628866,0.1718213058419244,0.08314803584664121
2012/2013,2012-08-05,Toluca,Leon,2,1,1,football-data,2.83,3.34,2.72,2.88,3.35,2.9,2.56,3.16,2.63,0.35335689045936397,0.29940119760479045,0.3676470588235294,0.0204051468876838,0.3472222222222222,0.29850746268656714,0.3448275862068966,-0.009442728884314078,0.390625,0.3164556962025316,0.3802281368821293,0.08730883308466098
