season,date,home_team,away_team,home_score,away_score,result_code,source,odds_home_pinnacle,odds_draw_pinnacle,odds_away_pinnacle,odds_home_max,odds_draw_max,odds_away_max,odds_home_avg,odds_draw_avg,odds_away_avg,imp_home_pinnacle,imp_draw_pinnacle,imp_away_pinnacle,overround_pinnacle,imp_home_max,imp_draw_max,imp_away_max,overround_max,imp_home_avg,imp_draw_avg,imp_away_avg,overround_avg
2013/2014,2014-01-26,Atlante,Guadalajara,1,1,0,football-data,2.48,3.16,3.29,2.6,3.2,3.29,2.45,3.05,2.91,0.40322580645161293,0.3164556962025316,0.303951367781155,0.02363287043529949,0.3846153846153846,0.3125,0.303951367781155,0.0010667523965395276,0.4081632653061224,0.3278688524590164,0.3436426116838488,0.07967472944898768
2013/2014,2014-01-26,Atlas,America,1,2,-1,football-data,4.92,3.29,1.93,4.92,3.4,2.0,4.02,3.23,1.92,0.2032520325203252,0.303951367781155,0.5181347150259068,0.025338115327387056,0.2032520325203252,0.29411764705882354,0.5,-0.0026303204208513176,0.24875621890547267,0.30959752321981426,0.5208333333333334,0.07918707545862036
2013/2014,2014-01-26,Leon,Pachuca,1,3,-1,football-data,1.58,4.13,6.43,1.6,4.13,7.14,1.56,3.73,5.91,0.6329113924050632,0.24213075060532688,0.15552099533437014,0.03056313834476021,0.625,0.24213075060532688,0.1400560224089636,0.007186773014290493,0.641025641025641,0.2680965147453083,0.1692047377326565,0.07832689350360567
2013/2014,2014-01-26,Puebla,Chiapas,2,3,-1,football-data,2.52,3.09,3.29,2.52,3.25,3.35,2.33,3.03,3.11,0.3968253968253968,0.3236245954692557,0.303951367781155,0.02440136007580751,0.3968253968253968,0.3076923076923077,0.29850746268656714,0.003025167204271595,0.4291845493562232,0.33003300330033003,0.3215434083601286,0.08076096101668195
2013/2014,2014-01-26,Tigres UANL,Pumas UNAM,1,2,-1,football-data,1.66,3.65,6.79,1.66,3.8,7.47,1.58,3.54,6.13,0.6024096385542169,0.273972602739726,0.14727540500736377,0.023657646301306734,0.6024096385542169,0.2631578947368421,0.13386880856760375,-0.0005636581413371866,0.6329113924050632,0.2824858757062147,0.1631321370309951,0.07852940514227291
2013/2014,2014-01-26,Toluca,Monterrey,2,0,1,football-data,2.19,3.36,3.7,2.2,3.4,3.9,2.04,3.24,3.56,0.4566210045662101,0.2976190476190476,0.27027027027027023,0.024510322455527866,0.45454545454545453,0.29411764705882354,0.25641025641025644,0.005073358014534568,0.49019607843137253,0.30864197530864196,0.2808988764044944,0.079736930144509
2013/2014,2014-02-01,America,Atlante,1,0,1,football-data,1.41,5.19,7.98,1.45,5.19,8.6,1.41,4.4,7.1,0.7092198581560284,0.19267822736030826,0.12531328320802004,0.0272113687243567,0.6896551724137931,0.19267822736030826,0.11627906976744186,-0.0013875304584567427,0.7092198581560284,0.22727272727272727,0.14084507042253522,0.07733765585129082
2013/2014,2014-02-01,Morelia,Leon,0,0,0,football-data,2.79,3.36,2.7,2.8,3.36,2.82,2.63,3.14,2.64,0.35842293906810035,0.2976190476190476,0.37037037037037035,0.02641235705751832,0.35714285714285715,0.2976190476190476,0.3546099290780142,0.009371833839918908,0.3802281368821293,0.3184713375796178,0.3787878787878788,0.07748735324962608
2013/2014,2014-02-01,Santos Laguna,Toluca,2,0,1,football-data,2.3,3.39,3.31,2.4,3.39,3.43,2.25,3.18,3.12,0.4347826086956522,0.2949852507374631,0.3021148036253776,0.031882663058492966,0.4166666666666667,0.2949852507374631,0.29154518950437314,0.0031971069085030557,0.4444444444444444,0.31446540880503143,0.3205128205128205,0.07942267376229628
2013/2014,2014-02-01,Veracruz,Puebla,0,1,-1,football-data,2.23,3.39,3.49,2.24,3.4,4.0,2.09,3.18,3.52,0.4484304932735426,0.2949852507374631,0.28653295128939826,0.029948695300404005,0.4464285714285714,0.29411764705882354,0.25,-0.009453781512605008,0.47846889952153115,0.31446540880503143,0.2840909090909091,0.0770252174174717
2013/2014,2014-02-02,Chiapas,Queretaro,1,0,1,football-data,2.12,3.16,4.2,2.17,3.35,4.2,2.07,3.14,3.61,0.4716981132075471,0.3164556962025316,0.23809523809523808,0.026249047505316758,0.4608294930875576,0.29850746268656714,0.23809523809523808,-0.002567806130637118,0.48309178743961356,0.3184713375796178,0.2770083102493075,0.07857143526853894
2013/2014,2014-02-02,Guadalajara,Cruz Azul,0,2,-1,football-data,3.8,3.14,2.23,3.8,3.25,2.5,3.22,3.02,2.3,0.2631578947368421,0.3184713375796178,0.4484304932735426,0.030059725590002584,0.2631578947368421,0.3076923076923077,0.4,-0.029149797570850233,0.3105590062111801,0.33112582781456956,0.4347826086956522,0.07646744272140182
2013/2014,2014-02-02,Monterrey,Tigres UANL,0,0,0,football-data,2.98,3.26,2.58,3.0,3.26,2.75,2.74,3.08,2.57,0.33557046979865773,0.3067484662576687,0.38759689922480617,0.02991583528113262,0.3333333333333333,0.3067484662576687,0.36363636363636365,0.003718163227365512,0.36496350364963503,0.3246753246753247,0.38910505836575876,0.07874388669071841
2013/2014,2014-02-02,Pachuca,Atlas,0,1,-1,football-data,1.91,3.71,4.31,1.97,3.71,4.5,1.86,3.31,4.14,0.5235602094240838,0.2695417789757412,0.2320185614849188,0.02512054988474377,0.5076142131979695,0.2695417789757412,0.2222222222222222,-0.0006217856040670044,0.5376344086021505,0.3021148036253776,0.24154589371980678,0.0812951059473348
2013/2014,2014-02-02,Pumas UNAM,Tijuana,3,0,1,football-data,2.74,3.05,3.02,2.74,3.2,3.3,2.52,2.99,2.87,0.36496350364963503,0.3278688524590164,0.33112582781456956,0.02395818392322102,0.36496350364963503,0.3125,0.30303030303030304,-0.019506193320061982,0.3968253968253968,0.33444816053511706,0.3484320557491289,0.07970561310964275
2013/2014,2014-02-08,America,Pachuca,0,1,-1,football-data,1.75,3.86,5.1,1.8,3.86,5.68,1.7,3.53,4.83,0.5714285714285714,0.2590673575129534,0.19607843137254904,0.026574360314073786,0.5555555555555556,0.2590673575129534,0.17605633802816903,-0.009320748903322018,0.5882352941176471,0.28328611898017,0.20703933747412007,0.07856075057193701
2013/2014,2014-02-08,Tijuana,Monterrey,2,1,1,football-data,1.92,3.29,4.99,2.05,3.3,4.99,1.94,3.17,4.06,0.5208333333333334,0.303951367781155,0.2004008016032064,0.02518550271769482,0.48780487804878053,0.30303030303030304,0.2004008016032064,-0.008764017317710038,0.5154639175257733,0.31545741324921134,0.24630541871921185,0.0772267494941965
2013/2014,2014-02-09,Atlante,Cruz Azul,1,4,-1,football-data,3.42,3.35,2.3,3.8,3.4,2.34,3.26,3.19,2.19,0.29239766081871343,0.29850746268656714,0.4347826086956522,0.02568773220093279,0.2631578947368421,0.29411764705882354,0.4273504273504274,-0.015374030853906984,0.3067484662576687,0.31347962382445144,0.4566210045662101,0.07684909464833023
2013/2014,2014-02-09,Atlas,Morelia,1,1,0,football-data,2.67,3.14,3.02,2.8,3.14,3.15,2.58,2.99,2.78,0.37453183520599254,0.3184713375796178,0.33112582781456956,0.02412900060017975,0.35714285714285715,0.3184713375796178,0.31746031746031744,-0.006925487817207587,0.38759689922480617,0.33444816053511706,0.3597122302158274,0.0817572899757506
2013/2014,2014-02-09,Leon,Pumas UNAM,1,2,-1,football-data,1.56,4.11,7.05,1.57,4.11,7.5,1.53,3.77,6.12,0.641025641025641,0.24330900243309,0.14184397163120568,0.026178615089936574,0.6369426751592356,0.24330900243309,0.13333333333333333,0.013585010925659002,0.6535947712418301,0.26525198938992045,0.16339869281045752,0.08224545344220813
2013/2014,2014-02-09,Puebla,Guadalajara,0,1,-1,football-data,2.7,3.0,3.11,2.7,3.13,3.11,2.52,2.98,2.88,0.37037037037037035,0.3333333333333333,0.3215434083601286,0.025247112063832233,0.37037037037037035,0.3194888178913738,0.3215434083601286,0.011402596621872707,0.3968253968253968,0.33557046979865773,0.3472222222222222,0.07961808884627675
2013/2014,2014-02-09,Queretaro,Veracruz,2,0,1,football-data,2.0,3.39,4.36,2.0,3.4,4.55,1.93,3.23,4.01,0.5,0.2949852507374631,0.2293577981651376,0.02434304890260064,0.5,0.29411764705882354,0.21978021978021978,0.01389786683904326,0.5181347150259068,0.30959752321981426,0.24937655860349128,0.07710879684921235
2013/2014,2014-02-09,Tigres UANL,Santos Laguna,1,1,0,football-data,2.11,3.43,3.85,2.11,3.43,4.4,2.0,3.23,3.7,0.47393364928909953,0.29154518950437314,0.2597402597402597,0.025219098533732387,0.47393364928909953,0.29154518950437314,0.22727272727272727,-0.007248433933800036,0.5,0.30959752321981426,0.27027027027027023,0.07986779349008444
2013/2014,2014-02-09,Toluca,Chiapas,2,0,1,football-data,1.77,3.81,5.07,1.8,3.81,5.7,1.72,3.48,4.85,0.5649717514124294,0.26246719160104987,0.1972386587771203,0.024677601790599413,0.5555555555555556,0.26246719160104987,0.17543859649122806,-0.006538656352166439,0.5813953488372093,0.28735632183908044,0.2061855670103093,0.0749372376865991
2013/2014,2014-02-15,Cruz Azul,Puebla,1,0,1,football-data,1.48,4.6,7.64,1.53,4.6,7.66,1.47,3.99,6.85,0.6756756756756757,0.2173913043478261,0.13089005235602094,0.023957032379522847,0.6535947712418301,0.2173913043478261,0.13054830287206265,0.0015343784617187772,0.6802721088435374,0.2506265664160401,0.14598540145985403,0.07688407671943143
2013/2014,2014-02-15,Morelia,America,1,0,1,football-data,3.61,3.43,2.19,3.61,3.43,2.45,3.22,3.14,2.23,0.2770083102493075,0.29154518950437314,0.4566210045662101,0.025174504319890767,0.2770083102493075,0.29154518950437314,0.4081632653061224,-0.023283234940197017,0.3105590062111801,0.3184713375796178,0.4484304932735426,0.07746083706434059
2013/2014,2014-02-15,Santos Laguna,Tijuana,3,2,1,football-data,2.11,3.27,4.08,2.11,3.4,4.4,1.99,3.22,3.75,0.47393364928909953,0.3058103975535168,0.24509803921568626,0.024842086058302515,0.47393364928909953,0.29411764705882354,0.22727272727272727,-0.004675976379349578,0.5025125628140703,0.3105590062111801,0.26666666666666666,0.07973823569191696
2013/2014,2014-02-15,Veracruz,Toluca,0,3,-1,football-data,3.79,3.37,2.15,3.79,3.37,2.35,3.34,3.18,2.15,0.2638522427440633,0.29673590504451036,0.46511627906976744,0.025704426858341067,0.2638522427440633,0.29673590504451036,0.425531914893617,-0.013879937317809343,0.29940119760479045,0.31446540880503143,0.46511627906976744,0.07898288547958932
2013/2014,2014-02-16,Chiapas,Tigres UANL,0,0,0,football-data,2.82,3.2,2.79,3.0,3.3,2.79,2.77,3.05,2.56,0.3546099290780142,0.3125,0.35842293906810035,0.025532868146114662,0.3333333333333333,0.30303030303030304,0.35842293906810035,-0.005213424568263347,0.36101083032490977,0.3278688524590164,0.390625,0.0795046827839263
2013/2014,2014-02-16,Guadalajara,Queretaro,2,1,1,football-data,2.26,3.2,3.71,2.32,3.25,4.0,2.15,3.1,3.45,0.4424778761061947,0.3125,0.2695417789757412,0.024519655081935987,0.4310344827586207,0.3076923076923077,0.25,-0.011273209549071517,0.46511627906976744,0.3225806451612903,0.2898550724637681,0.07755199669482593
2013/2014,2014-02-16,Monterrey,Leon,0,2,-1,football-data,2.49,3.37,3.01,2.65,3.37,3.01,2.48,3.17,2.76,0.4016064257028112,0.29673590504451036,0.33222591362126247,0.030568244368583963,0.37735849056603776,0.29673590504451036,0.33222591362126247,0.006320309231810484,0.40322580645161293,0.31545741324921134,0.3623188405797102,0.08100206028053458
2013/2014,2014-02-16,Pachuca,Atlante,0,1,-1,football-data,2.05,3.56,3.93,2.09,3.56,4.6,1.94,3.32,3.86,0.48780487804878053,0.2808988764044944,0.2544529262086514,0.023156680661926332,0.47846889952153115,0.2808988764044944,0.2173913043478261,-0.02324091972614828,0.5154639175257733,0.30120481927710846,0.2590673575129534,0.07573609431583517
2013/2014,2014-02-16,Pumas UNAM,Atlas,1,1,0,football-data,2.36,3.19,3.48,2.4,3.3,3.88,2.16,3.13,3.36,0.42372881355932207,0.31347962382445144,0.28735632183908044,0.02456475922285395,0.4166666666666667,0.30303030303030304,0.2577319587628866,-0.022571071540143706,0.4629629629629629,0.3194888178913738,0.2976190476190476,0.08007082847338443
2013/2014,2014-02-22,America,Pumas UNAM,1,3,-1,football-data,1.61,3.88,6.88,1.61,3.95,6.88,1.56,3.7,5.88,0.6211180124223602,0.2577319587628866,0.14534883720930233,0.024198808394549243,0.6211180124223602,0.2531645569620253,0.14534883720930233,0.019631406593687784,0.641025641025641,0.27027027027027023,0.17006802721088435,0.08136393850679546
2013/2014,2014-02-22,Queretaro,Cruz Azul,1,3,-1,football-data,3.62,3.44,2.18,4.05,3.44,2.18,3.61,3.17,2.05,0.27624309392265195,0.29069767441860467,0.4587155963302752,0.02565636467153176,0.2469135802469136,0.29069767441860467,0.4587155963302752,-0.003673149004206566,0.2770083102493075,0.31545741324921134,0.48780487804878053,0.08027060154729937
2013/2014,2014-02-22,Tijuana,Chiapas,0,3,-1,football-data,1.67,3.96,5.79,1.67,3.96,6.3,1.63,3.64,5.29,0.5988023952095809,0.25252525252525254,0.17271157167530224,0.02403921941013576,0.5988023952095809,0.25252525252525254,0.15873015873015872,0.010057806464992325,0.6134969325153374,0.2747252747252747,0.1890359168241966,0.0772581240648087
2013/2014,2014-02-23,Atlante,Puebla,0,0,0,football-data,2.11,3.3,4.02,2.15,3.4,4.1,2.03,3.24,3.58,0.47393364928909953,0.30303030303030304,0.24875621890547267,0.025720171224875132,0.46511627906976744,0.29411764705882354,0.24390243902439027,0.003136365152981213,0.4926108374384237,0.30864197530864196,0.27932960893854747,0.08058242168561325
2013/2014,2014-02-23,Atlas,Monterrey,0,1,-1,football-data,2.35,3.32,3.34,2.5,3.33,3.36,2.31,3.14,3.04,0.425531914893617,0.30120481927710846,0.29940119760479045,0.026137931775515932,0.4,0.3003003003003003,0.2976190476190476,-0.0020806520806520012,0.4329004329004329,0.3184713375796178,0.32894736842105265,0.08031913890110332
2013/2014,2014-02-23,Leon,Santos Laguna,4,2,1,football-data,1.92,3.89,4.07,2.0,3.89,4.2,1.93,3.46,3.61,0.5208333333333334,0.2570694087403599,0.24570024570024568,0.023602987773938988,0.5,0.2570694087403599,0.23809523809523808,-0.00483535316440209,0.5181347150259068,0.28901734104046245,0.2770083102493075,0.0841603663156767
2013/2014,2014-02-23,Pachuca,Morelia,3,0,1,football-data,2.35,3.29,3.38,2.38,3.3,3.4,2.24,3.16,3.14,0.425531914893617,0.303951367781155,0.2958579881656805,0.025341270840452568,0.42016806722689076,0.30303030303030304,0.29411764705882354,0.017316017316017396,0.4464285714285714,0.3164556962025316,0.3184713375796178,0.08135560521072072
2013/2014,2014-02-23,Tigres UANL,Veracruz,1,0,1,football-data,1.59,4.14,6.44,1.64,4.3,6.65,1.54,3.8,6.01,0.6289308176100629,0.24154589371980678,0.15527950310559005,0.025756214435459723,0.6097560975609756,0.23255813953488372,0.15037593984962405,-0.007309823054516662,0.6493506493506493,0.2631578947368421,0.1663893510815308,0.07889789516902224
2013/2014,2014-02-23,Toluca,Guadalajara,1,0,1,football-data,1.83,3.59,4.99,1.93,3.59,5.2,1.78,3.38,4.49,0.5464480874316939,0.2785515320334262,0.2004008016032064,0.025400421068326517,0.5181347150259068,0.2785515320334262,0.1923076923076923,-0.011006060632974712,0.5617977528089888,0.2958579881656805,0.22271714922048996,0.08037289019515925
2013/2014,2014-03-01,Cruz Azul,Toluca,1,0,1,football-data,1.89,3.53,4.72,1.95,3.53,4.85,1.86,3.33,4.12,0.5291005291005292,0.28328611898017,0.21186440677966104,0.024251054860360277,0.5128205128205129,0.28328611898017,0.2061855670103093,0.0022921988109920743,0.5376344086021505,0.3003003003003003,0.24271844660194175,0.08065315550439256
2013/2014,2014-03-01,Morelia,Atlante,1,2,-1,football-data,2.27,3.42,3.42,2.27,3.42,4.2,2.13,3.21,3.37,0.44052863436123346,0.29239766081871343,0.29239766081871343,0.02532395599866044,0.44052863436123346,0.29239766081871343,0.23809523809523808,-0.028978466724814966,0.4694835680751174,0.3115264797507788,0.29673590504451036,0.07774595287040653
2013/2014,2014-03-01,Santos Laguna,Atlas,2,3,-1,football-data,1.93,3.74,4.19,1.93,3.74,5.25,1.82,3.49,4.13,0.5181347150259068,0.267379679144385,0.2386634844868735,0.024177878657165364,0.5181347150259068,0.267379679144385,0.19047619047619047,-0.02400941535351775,0.5494505494505494,0.28653295128939826,0.24213075060532688,0.07811425134527461
2013/2014,2014-03-01,Veracruz,Tijuana,1,1,0,football-data,3.01,3.02,2.72,3.2,3.2,2.82,2.76,2.98,2.61,0.33222591362126247,0.33112582781456956,0.3676470588235294,0.030998800259361525,0.3125,0.3125,0.3546099290780142,-0.020390070921985748,0.3623188405797102,0.33557046979865773,0.3831417624521073,0.08103107283047528
2013/2014,2014-03-02,Chiapas,Leon,0,3,-1,football-data,3.35,3.53,2.26,3.4,3.56,2.5,3.12,3.23,2.24,0.29850746268656714,0.28328611898017,0.4424778761061947,0.024271457772931715,0.29411764705882354,0.2808988764044944,0.4,-0.02498347653668198,0.3205128205128205,0.30959752321981426,0.4464285714285714,0.07653891516120614
2013/2014,2014-03-02,Guadalajara,Tigres UANL,0,0,0,football-data,3.67,3.1,2.32,3.95,3.12,2.45,3.33,3.0,2.26,0.2724795640326976,0.3225806451612903,0.4310344827586207,0.026094691952608606,0.2531645569620253,0.3205128205128205,0.4081632653061224,-0.018159357219031724,0.3003003003003003,0.3333333333333333,0.4424778761061947,0.07611150973982839
2013/2014,2014-03-02,Monterrey,America,1,2,-1,football-data,3.07,3.21,2.55,3.3,3.25,2.6,2.91,3.05,2.44,0.32573289902280134,0.3115264797507788,0.3921568627450981,0.029416241518678277,0.30303030303030304,0.3076923076923077,0.3846153846153846,-0.004662004662004726,0.3436426116838488,0.3278688524590164,0.4098360655737705,0.08134752971663572
2013/2014,2014-03-02,Puebla,Queretaro,1,0,1,football-data,2.31,3.26,3.48,2.45,3.26,3.5,2.3,3.07,3.13,0.4329004329004329,0.3067484662576687,0.28735632183908044,0.027005220997182056,0.4081632653061224,0.3067484662576687,0.2857142857142857,0.0006260172780767626,0.4347826086956522,0.32573289902280134,0.3194888178913738,0.08000432560982729
2013/2014,2014-03-02,Pumas UNAM,Pachuca,0,0,0,football-data,2.41,3.29,3.27,2.5,3.3,3.45,2.26,3.1,3.18,0.41493775933609955,0.303951367781155,0.3058103975535168,0.0246995246707713,0.4,0.30303030303030304,0.2898550724637681,-0.007114624505928813,0.4424778761061947,0.3225806451612903,0.31446540880503143,0.07952393007251635
2013/2014,2014-03-08,America,Santos Laguna,2,4,-1,football-data,1.91,3.61,4.47,1.95,3.61,4.85,1.85,3.33,4.21,0.5235602094240838,0.2770083102493075,0.2237136465324385,0.02428216620582968,0.5128205128205129,0.2770083102493075,0.2061855670103093,-0.003985609919870292,0.5405405405405405,0.3003003003003003,0.23752969121140144,0.07837053205224231
2013/2014,2014-03-08,Leon,Veracruz,0,1,-1,football-data,1.47,4.72,7.27,1.47,4.72,8.1,1.45,4.15,6.77,0.6802721088435374,0.21186440677966104,0.13755158184319122,0.029688097466389562,0.6802721088435374,0.21186440677966104,0.1234567901234568,0.015593305746655295,0.6896551724137931,0.24096385542168672,0.14771048744460857,0.07832951528008847
2013/2014,2014-03-08,Morelia,Pumas UNAM,3,1,1,football-data,2.5,3.18,3.15,2.65,3.3,3.4,2.27,3.1,3.14,0.4,0.31446540880503143,0.31746031746031744,0.03192572626534895,0.37735849056603776,0.30303030303030304,0.29411764705882354,-0.025493559344835548,0.44052863436123346,0.3225806451612903,0.3184713375796178,0.0815806171021416
2013/2014,2014-03-08,Tijuana,Guadalajara,2,0,1,football-data,2.16,3.15,4.06,2.16,3.25,4.4,2.05,3.13,3.69,0.4629629629629629,0.31746031746031744,0.24630541871921185,0.026728699142492207,0.4629629629629629,0.3076923076923077,0.22727272727272727,-0.002072002072002088,0.48780487804878053,0.3194888178913738,0.2710027100271003,0.07829640596725462
2013/2014,2014-03-08,Toluca,Puebla,3,0,1,football-data,1.69,3.72,5.89,1.74,3.75,5.9,1.64,3.56,5.28,0.591715976331361,0.26881720430107525,0.16977928692699493,0.030312467559431067,0.5747126436781609,0.26666666666666666,0.1694915254237288,0.010870835768556297,0.6097560975609756,0.2808988764044944,0.1893939393939394,0.08004891335940933
2013/2014,2014-03-09,Atlante,Queretaro,4,2,1,football-data,1.86,3.45,5.07,2.0,3.45,5.1,1.85,3.28,4.29,0.5376344086021505,0.2898550724637681,0.1972386587771203,0.024728139843038788,0.5,0.2898550724637681,0.19607843137254904,-0.01406649616368294,0.5405405405405405,0.3048780487804878,0.2331002331002331,0.07851882242126118
2013/2014,2014-03-09,Atlas,Chiapas,2,2,0,football-data,2.32,3.22,3.53,2.4,3.25,3.55,2.2,3.09,3.34,0.4310344827586207,0.3105590062111801,0.28328611898017,0.024879607949970683,0.4166666666666667,0.3076923076923077,0.28169014084507044,0.006049115204044941,0.45454545454545453,0.3236245954692557,0.29940119760479045,0.07757124761950074
2013/2014,2014-03-09,Pachuca,Monterrey,2,0,1,football-data,2.36,3.42,3.25,2.45,3.42,3.5,2.24,3.14,3.19,0.42372881355932207,0.29239766081871343,0.3076923076923077,0.02381878207034327,0.4081632653061224,0.29239766081871343,0.2857142857142857,-0.01372478816087852,0.4464285714285714,0.3184713375796178,0.31347962382445144,0.07837953283264065
2013/2014,2014-03-09,Tigres UANL,Cruz Azul,3,0,1,football-data,2.42,3.23,3.29,2.65,3.23,3.3,2.41,3.06,2.95,0.4132231404958678,0.30959752321981426,0.303951367781155,0.026772031496836934,0.37735849056603776,0.30959752321981426,0.30303030303030304,-0.01001368318384488,0.41493775933609955,0.32679738562091504,0.3389830508474576,0.08071819580447226
2013/2014,2014-03-15,Cruz Azul,Tijuana,2,1,1,football-data,1.56,3.99,7.4,1.65,3.99,7.4,1.58,3.6,5.91,0.641025641025641,0.2506265664160401,0.13513513513513511,0.026787342576816142,0.6060606060606061,0.2506265664160401,0.13513513513513511,-0.008177692388218749,0.6329113924050632,0.2777777777777778,0.1692047377326565,0.07989390791549744
2013/2014,2014-03-15,Queretaro,Toluca,0,2,-1,football-data,3.08,3.28,2.53,3.3,3.28,2.53,3.03,3.13,2.33,0.3246753246753247,0.3048780487804878,0.3952569169960475,0.024810290451859895,0.30303030303030304,0.3048780487804878,0.3952569169960475,0.0031652688068382062,0.33003300330033003,0.3194888178913738,0.4291845493562232,0.07870637054792695
2013/2014,2014-03-15,Veracruz,Atlas,0,1,-1,football-data,2.32,3.21,3.54,2.5,3.21,3.54,2.31,3.08,3.13,0.4310344827586207,0.3115264797507788,0.2824858757062147,0.025046838215614153,0.4,0.3115264797507788,0.2824858757062147,-0.005987644543006487,0.4329004329004329,0.3246753246753247,0.3194888178913738,0.0770645754671313
2013/2014,2014-03-16,Chiapas,America,2,2,0,football-data,3.56,3.38,2.23,3.56,3.38,2.32,3.21,3.16,2.22,0.2808988764044944,0.2958579881656805,0.4484304932735426,0.025187357843717395,0.2808988764044944,0.2958579881656805,0.4310344827586207,0.007791347328795606,0.3115264797507788,0.3164556962025316,0.4504504504504504,0.0784326264037607
2013/2014,2014-03-16,Guadalajara,Leon,1,0,1,football-data,2.9,3.09,2.81,2.9,3.2,3.0,2.59,3.03,2.74,0.3448275862068966,0.3236245954692557,0.35587188612099646,0.024324067797148796,0.3448275862068966,0.3125,0.3333333333333333,-0.009339080459770166,0.3861003861003861,0.33003300330033003,0.36496350364963503,0.08109689305035106
2013/2014,2014-03-16,Monterrey,Morelia,0,1,-1,football-data,2.11,3.37,3.96,2.25,3.39,3.96,2.09,3.2,3.49,0.47393364928909953,0.29673590504451036,0.25252525252525254,0.02319480685886255,0.4444444444444444,0.2949852507374631,0.25252525252525254,-0.008045052292839916,0.47846889952153115,0.3125,0.28653295128939826,0.07750185081092953
2013/2014,2014-03-16,Puebla,Tigres UANL,0,1,-1,football-data,3.85,3.08,2.27,4.18,3.25,2.27,3.48,3.08,2.14,0.2597402597402597,0.3246753246753247,0.44052863436123346,0.02494421877681785,0.23923444976076558,0.3076923076923077,0.44052863436123346,-0.012544608185693251,0.28735632183908044,0.3246753246753247,0.4672897196261682,0.07932136614057339
2013/2014,2014-03-16,Pumas UNAM,Atlante,5,0,1,football-data,2.11,3.43,3.85,2.31,3.43,3.88,2.13,3.14,3.42,0.47393364928909953,0.29154518950437314,0.2597402597402597,0.025219098533732387,0.4329004329004329,0.29154518950437314,0.2577319587628866,-0.017822418832307285,0.4694835680751174,0.3184713375796178,0.29239766081871343,0.08035256647344857
2013/2014,2014-03-16,Santos Laguna,Pachuca,3,1,1,football-data,1.88,3.65,4.56,2.0,3.65,4.75,1.86,3.4,4.07,0.5319148936170213,0.273972602739726,0.2192982456140351,0.025185741970782383,0.5,0.273972602739726,0.21052631578947367,-0.015501081470800315,0.5376344086021505,0.29411764705882354,0.24570024570024568,0.07745230136121983
2013/2014,2014-03-22,America,Veracruz,0,0,0,football-data,1.46,4.47,8.52,1.49,4.47,9.0,1.42,4.04,7.78,0.684931506849315,0.2237136465324385,0.11737089201877934,0.026016045400532928,0.6711409395973155,0.2237136465324385,0.1111111111111111,0.005965697240865042,0.7042253521126761,0.24752475247524752,0.12853470437017994,0.08028480895810364
2013/2014,2014-03-22,Morelia,Santos Laguna,2,2,0,football-data,2.47,3.39,3.02,2.5,3.45,3.35,2.35,3.19,2.96,0.4048582995951417,0.2949852507374631,0.33112582781456956,0.030969378147174265,0.4,0.2898550724637681,0.29850746268656714,-0.011637464849664658,0.425531914893617,0.31347962382445144,0.33783783783783783,0.07684937655590618
2013/2014,2014-03-22,Tijuana,Puebla,3,1,1,football-data,1.55,4.09,7.5,1.75,4.1,7.5,1.57,3.7,5.87,0.6451612903225806,0.24449877750611249,0.13333333333333333,0.022993401162026528,0.5714285714285714,0.24390243902439027,0.13333333333333333,-0.05133565621370506,0.6369426751592356,0.27027027027027023,0.17035775127768313,0.07757069670718897
2013/2014,2014-03-23,Atlante,Toluca,2,1,1,football-data,2.89,3.17,2.76,2.89,3.21,2.88,2.6,3.08,2.69,0.3460207612456747,0.31545741324921134,0.3623188405797102,0.023797015074596306,0.3460207612456747,0.3115264797507788,0.3472222222222222,0.0047694632186758845,0.3846153846153846,0.3246753246753247,0.3717472118959108,0.08103792118662012
2013/2014,2014-03-23,Atlas,Guadalajara,1,1,0,football-data,2.34,3.11,3.63,2.55,3.11,3.63,2.31,2.95,3.28,0.4273504273504274,0.3215434083601286,0.27548209366391185,0.024375929374467864,0.3921568627450981,0.3215434083601286,0.27548209366391185,-0.010817635230861433,0.4329004329004329,0.3389830508474576,0.3048780487804878,0.07676153252837836
2013/2014,2014-03-23,Leon,Cruz Azul,0,0,0,football-data,2.39,3.32,3.23,2.42,3.32,3.5,2.28,3.13,3.11,0.41841004184100417,0.30120481927710846,0.30959752321981426,0.029212384337926833,0.4132231404958678,0.30120481927710846,0.2857142857142857,0.0001422454872619383,0.4385964912280702,0.3194888178913738,0.3215434083601286,0.07962871747957267
2013/2014,2014-03-23,Pachuca,Chiapas,2,0,1,football-data,2.02,3.45,4.16,2.05,3.45,4.2,1.95,3.25,3.88,0.49504950495049505,0.2898550724637681,0.24038461538461536,0.025289192798878535,0.48780487804878053,0.2898550724637681,0.23809523809523808,0.015755188607786685,0.5128205128205129,0.3076923076923077,0.2577319587628866,0.07824477927570728
2013/2014,2014-03-23,Pumas UNAM,Monterrey,1,2,-1,football-data,2.27,3.28,3.58,2.29,3.28,3.95,2.1,3.16,3.5,0.44052863436123346,0.3048780487804878,0.27932960893854747,0.02473629208026873,0.4366812227074236,0.3048780487804878,0.2531645569620253,-0.005276171550063324,0.47619047619047616,0.3164556962025316,0.2857142857142857,0.07836045810729342
